wavelength,1,a,bb,a^2,a bb,bb^2,a^3,a^2 bb,a bb^2,bb^3,a^4,a^3 bb,a^2 bb^2,a bb^3,bb^4,a^5,a^4 bb,a^3 bb^2,a^2 bb^3,a bb^4,bb^5
400.0,-2.579879227347991,-1.3288430368562834,1.3265491182250917,0.06901182567886498,-0.11530207871139435,0.08920975068525022,-0.007362318944706873,0.018412573292415475,-0.0064576504584271015,0.023624517600707867,1.6920019912801894e-05,-0.0017778800993410355,0.0006583812110783087,0.0012412941432356143,0.005283881071765265,6.0602920878362524e-05,3.199038064060618e-05,-9.061728912848621e-05,-6.976744668696355e-05,0.00011241589133803576,0.00031972412094050107
405.0,-2.6105879470976565,-1.2955008620323,1.2953068837790305,0.05698982601141269,-0.08834935188757485,0.07813527971012779,-0.005693652568783815,0.011614900568465855,0.0011628932820108475,0.022023531424705624,-8.6805326924816e-05,-0.0011887325786471064,-0.0005633209371714298,0.0021453371659590197,0.005130155199331313,6.842700924423969e-05,1.5434585044388716e-05,-4.136682732391872e-05,-0.00013977484046856503,0.00015081511944647907,0.0003120542778951574
410.0,-2.6411521522185586,-1.2612696883070935,1.2632050969472575,0.04430300155504269,-0.0601447104049664,0.06629764692802728,-0.0039052674719520625,0.004326118066642949,0.009238910963465333,0.020159150738896337,-0.00018866440770624405,-0.0005425570688623698,-0.0018853064658763347,0.003114849299311161,0.004940433446974112,7.509823986266213e-05,-2.6377210644749067e-06,1.3212642464649482e-05,-0.00021614724254731543,0.00019246514652881963,0.0003027018042058849
415.0,-2.671577358495961,-1.2261861414519282,1.2304813456197505,0.03091747124969561,-0.03088916405917634,0.053781832655725156,-0.001953646657263475,-0.0034087591878876177,0.017723227315372722,0.018045307078166945,-0.00030347326802949585,0.00016071415340360395,-0.0032989665332521017,0.004146363171516976,0.004716177612063371,8.241766174343543e-05,-2.277097514601848e-05,7.294550823358503e-05,-0.0002984024585475642,0.00023734829235744215,0.00029173958930150956
420.0,-2.7018924489566567,-1.1902819913647187,1.19721493534076,0.016833685293014947,-0.0006075673390595598,0.040638479013483844,0.000172387066604176,-0.011586275577740987,0.02662356467369384,0.015699788067749222,-0.00043478959417866855,0.0009214870303641893,-0.0048059854914674445,0.00524283444689859,0.004459842662278147,9.066443155939718e-05,-4.513978449603096e-05,0.00013791066879051406,-0.00038677634881928435,0.0002856871258191118,0.000279286110779875
425.0,-2.7315804123145755,-1.1540848634476046,1.163742272940428,0.002242125842761781,0.030425881758280055,0.02695615909367104,0.0024334499105506083,-0.02015443681944157,0.03587454006159527,0.0131287734569057,-0.0005744529903434236,0.0017362839627425779,-0.006400112211673123,0.006397765027621124,0.004171150831018144,9.882743286045513e-05,-6.94486005115998e-05,0.00020804644015187668,-0.00048106609616754836,0.00033725509576265633,0.00026530492128495897
430.0,-2.7603503613125855,-1.1180803241146526,1.1306072916003178,-0.012655229620344901,0.061675290589685614,0.012947359450807204,0.004823070511720999,-0.02895724206325206,0.04532712865716498,0.01036810789663558,-0.000731889440243175,0.00259155277089035,-0.008053398616587375,0.007594742440970062,0.0038523534174648728,0.00010788999935634817,-9.591461483072023e-05,0.0002821045239828901,-0.000579692983312563,0.000391449738932903,0.0002498192124862353
435.0,-2.7884107683287116,-1.0820668407221656,1.0976336501373458,-0.027946009296304235,0.09335113857041553,-0.0014356466332467299,0.007369200365497686,-0.0380588713804035,0.055058811114178006,0.007419978303957462,-0.0009108960408349869,0.0034946165696640497,-0.009780351904127044,0.008845243606872341,0.0035055964470323887,0.00011714615089957942,-0.00012483139379523668,0.00036082010351293214,-0.0006836658807015672,0.00044885857088405867,0.0002330031205111105
440.0,-2.81568423159113,-1.0464134634815974,1.0652440365861375,-0.043416952669108146,0.12495200400155299,-0.016020935494561635,0.010084948694463164,-0.04728749401649289,0.06493161818947189,0.004316480329296264,-0.0011297238687799508,0.004427189425609797,-0.011550299109564784,0.01013466426562433,0.0031334584508635878,0.00012571425624206158,-0.0001565242689166626,0.00044249060595397127,-0.0007912615062147799,0.0005089868248241425,0.00021492634255404486
445.0,-2.842354698395506,-1.0110231781245465,1.033321198153767,-0.05905490635847252,0.15658790562394842,-0.03084502853049529,0.013007264698272696,-0.05667227479603706,0.074992605139455,0.001059848020189209,-0.0014013223594825741,0.005391399620761485,-0.013371625724313682,0.011470680761957687,0.0027379053262776725,0.00012901907735595928,-0.00019111942000171135,0.0005274241464112983,-0.0009031435296844026,0.0005722530184313346,0.00019574936804034326
450.0,-2.8678587630198433,-0.9764464112402751,1.002166161190776,-0.07457615642706888,0.18801619689236526,-0.045779350085382635,0.016025228518784043,-0.06615693642440593,0.08516627863679335,-0.0023269780948092654,-0.001705110457903887,0.006375819160509994,-0.015235666647922124,0.012843296348803357,0.002320173928213802,0.00012387346535544893,-0.0002265287121675561,0.0006149194659600121,-0.0010189445703910338,0.0006381867311965328,0.00017545880662261926
455.0,-2.8916317282819537,-0.9421389371925692,0.9711011232063498,-0.09061896857515195,0.2205769964664834,-0.06102062597993928,0.0190487998685579,-0.07637783535969699,0.09585028402122356,-0.005852421988290413,-0.0019658371066571694,0.007461443089772446,-0.017269414848206644,0.014297277383026196,0.0018832780641389662,0.00011895482556379938,-0.00026162890393583577,0.0007129230214253657,-0.0011466333876347656,0.000708419201908006,0.00015432547716875966
460.0,-2.913570144436636,-0.9090020643532061,0.9411864371488939,-0.10664277082378333,0.2528739882888182,-0.076157230224855,0.022096615254291456,-0.08682618162715643,0.10662860334259106,-0.009454886745873166,-0.0022256966396350963,0.008594125331653405,-0.01937477071138201,0.01578447734690169,0.001429983582343443,0.00011346181898135988,-0.00029713144280846715,0.0008160971045571008,-0.0012802613283525721,0.0007811067668044291,0.00013230400384467433
465.0,-2.933747075154608,-0.8776005418743289,0.9130369819524057,-0.12214993826999454,0.283972359552717,-0.09091245089549738,0.025143910698801272,-0.09710551299261737,0.11721825304532527,-0.013080746394162466,-0.002519050630742129,0.009722198585049626,-0.02147446818125125,0.017271981585731053,0.0009651667390912278,0.000102662966750345,-0.00033238651541414685,0.0009194511192471833,-0.0014151252669454828,0.000854992862501347,0.00010956055352351335
470.0,-2.9520469939139895,-0.8480101150901154,0.8867023425785928,-0.13712037602322383,0.31385668581125875,-0.10521220598847128,0.028141523009936303,-0.10722875231700796,0.12760223932930037,-0.016703766087273385,-0.002835478979869986,0.010846065717247855,-0.023570861622708546,0.01875610151732709,0.0004921168449486786,8.734994917338309e-05,-0.0003666717803111761,0.001023000827561682,-0.0015513622556561635,0.0009298490973559947,8.623270838969965e-05
475.0,-2.968690614284256,-0.8202959776452484,0.8623169113365187,-0.1512821477962286,0.34218389456548953,-0.1189541622616146,0.031036275661610557,-0.11699474251841638,0.13767206013046723,-0.020291754728990554,-0.0032013399748376864,0.011928648250676311,-0.02562323114709706,0.020224356616557776,1.5457291416976296e-05,6.218369010876893e-05,-0.0003984828575818897,0.0011229824373596708,-0.0016864156614828651,0.0010052349222813284,6.255699983748197e-05
480.0,-2.983060489951618,-0.7952827417580474,0.8405605537194722,-0.16430697555779328,0.36818414470004995,-0.13175632173427668,0.03366574053220666,-0.12610897103188526,0.14713519947001027,-0.023763378669577884,-0.003572283101036003,0.012932659936327496,-0.027564741793865748,0.021633142014814227,-0.00045834892965532865,3.306422664119831e-05,-0.0004260455340714183,0.0012158040010861737,-0.0018156600696184189,0.0010789316216616163,3.866057692447633e-05
485.0,-2.9954267000947685,-0.7726360254460678,0.8212172054708563,-0.17635349532226796,0.3921234970194542,-0.14363102371087658,0.03604136315285598,-0.13465569208885403,0.15606279263373463,-0.027096303027338276,-0.003952108584932426,0.013863781790897322,-0.029409880867602517,0.022990020399180203,-0.0009239539348285451,-7.244925003539024e-07,-0.0004491435722753121,0.0013016819511545707,-0.0019398334956731156,0.0011512061638292437,1.4879245996524126e-05
490.0,-3.0060304110389846,-0.7527010192792839,0.80479390025953,-0.1867895550451035,0.4131041003012422,-0.15422854222584756,0.03797620259927619,-0.1420464018839342,0.16413392895123283,-0.03019705721086145,-0.004361054580475663,0.014614200559325281,-0.031026340727915148,0.024251298246464416,-0.0013708865500533293,-4.6377559325403816e-05,-0.0004638248730653718,0.0013697538663584863,-0.0020498382158717354,0.0012200553944382575,-8.374446667680502e-06
