wavelength,1,a,bb,a^2,a bb,bb^2,a^3,a^2 bb,a bb^2,bb^3,a^4,a^3 bb,a^2 bb^2,a bb^3,bb^4
400.0,-2.547406228302026,-1.3689549258113325,1.3594525615537667,0.08047899316698631,-0.14655384465030802,0.07834237163581655,-0.007143867047612912,0.024018280982976495,-0.015611178043262952,0.010795891714717301,-7.517298080139678e-05,-0.0014712401107915274,0.0015693850924929365,-0.00023326479515939358,0.0011643573290309739
405.0,-2.569861469627779,-1.348813418755471,1.337571714083276,0.0755435779971497,-0.13252275846599887,0.07113940389738876,-0.00690291261773919,0.02172553630683316,-0.012616634194209025,0.009795301177231333,-7.654615564545164e-05,-0.0014015486452013115,0.0013279135909365358,-3.194995023714231e-05,0.0010974647985044772
410.0,-2.5930217828442474,-1.3273114932101002,1.314651164924727,0.07002518569008645,-0.1175162936840798,0.06345112207207915,-0.006596764871299052,0.01919943430007856,-0.009397261311784255,0.00870220855669683,-7.987418941807212e-05,-0.001319685164638651,0.0010634789115648857,0.00018606338487325846,0.0010250647747231945
415.0,-2.6167545455142913,-1.3045378762279216,1.290780742763332,0.06393973581059623,-0.10155902828343127,0.05530596276128022,-0.006230271968809084,0.01644461762499061,-0.005951123912446898,0.007521766690292198,-8.410056981666969e-05,-0.0012267257559847589,0.0007759671110484367,0.000421409598275746,0.0009476078931874854
420.0,-2.6410220759707745,-1.2805430456095104,1.2660287405507142,0.05730040467309454,-0.08465052648854197,0.04674345820595546,-0.005806591117252277,0.01346179938460737,-0.002272065338015744,0.006264308324176626,-8.912762488466619e-05,-0.0011234458602192299,0.00046509673472050483,0.0006749275948997324,0.0008659139172367825
425.0,-2.6655119756299914,-1.2555472828042482,1.240599220624266,0.05012760423040741,-0.0669084027966126,0.03778912368499071,-0.005319756469108122,0.010257153668542726,0.0016195108754439025,0.004925127963414572,-9.551489367282118e-05,-0.0010086062708359322,0.00013148549699282253,0.0009454133907633722,0.0007792009523336363
430.0,-2.689859112140959,-1.2299253111881028,1.2148214442719956,0.042534439596164576,-0.048562551447783334,0.028541716145022704,-0.004785533218704396,0.006878028514088738,0.005678536734172429,0.003515077889904336,-0.00010146022178747494,-0.0008854034393498411,-0.00022032926801951458,0.0012300605941203413,0.0006876774147999143
435.0,-2.7141433739130516,-1.2036009784573223,1.1886552705875788,0.0344920866642858,-0.029519287308765376,0.019011984902374372,-0.004201002541856055,0.003306171700657834,0.009933914885010359,0.002042917675362063,-0.000107329335776285,-0.0007536015325236844,-0.0005926585077663526,0.0015314905162812087,0.0005924378260967478
440.0,-2.7380753641388615,-1.1769277726205396,1.162377885712307,0.02614227996735445,-0.009995062889801048,0.009298135144615194,-0.0035942700354099077,-0.00039801992691486376,0.014346238023660848,0.0005235381943987372,-0.0001103172354009474,-0.0006191980366064831,-0.0009796457950038695,0.0018476604904212879,0.0004942360894729658
445.0,-2.761731446961767,-1.1498158480733975,1.1359405505196198,0.01745718486388197,0.010114683803309966,-0.0005909140453417405,-0.0029674450838262853,-0.004251910621878935,0.01894800921404785,-0.0010340293179218335,-0.00011031315021964305,-0.00048309084634323707,-0.0013833689121460213,0.0021815462826138,0.0003942000104185661
450.0,-2.784896329287083,-1.1223992575033361,1.1095154381578807,0.008402682968077769,0.030725479837433442,-0.010628887001711497,-0.002296532197723189,-0.008274779121763762,0.023717029399303313,-0.0026341969549348726,-0.0001101913298350854,-0.00034002143920996986,-0.001805322359829331,0.0025309364769291465,0.00029136132605911413
455.0,-2.807886698350341,-1.093957442824969,1.082656982965573,-0.0015174508232870046,0.05238571849882414,-0.021018832060275834,-0.001458402036709383,-0.012706751278872011,0.02876830839128157,-0.004313186902798111,-0.00012130808880655986,-0.00016331687411119677,-0.0022708279296425604,0.0029023918496209333,0.00018350710452652574
460.0,-2.8300695650334573,-1.065386026441141,1.0560384932351532,-0.011920249611536917,0.07449139063122087,-0.03153414383852836,-0.0005235729612290546,-0.017378325568829026,0.0339801424142059,-0.006042212507568159,-0.00013647226743859764,3.2211146538119184e-05,-0.0027631597342055447,0.0032886372991990376,7.170033606573867e-05
465.0,-2.851111562833265,-1.0372437653690305,1.0300835917687163,-0.022531869067072566,0.09666278583499056,-0.04200241712555387,0.0004530122652781493,-0.022166995231326654,0.03927853647353867,-0.007792935750761107,-0.00015076776449449159,0.00023454855616578119,-0.0032699115789748268,0.0036856063721116827,-4.237773101489761e-05
470.0,-2.870963229187205,-1.0095926364185197,1.0048677913158295,-0.03337417850031406,0.1188674589821581,-0.05239519685764227,0.0014862523821830217,-0.027090048629265895,0.04465636796214313,-0.009561253251832783,-0.0001656140038120424,0.00044688961461980536,-0.003793121408636857,0.004092619890943117,-0.0001585925059497395
475.0,-2.889567218560887,-0.9825943790912572,0.9805257511548342,-0.04434185170310691,0.14099944638561235,-0.06262838422578537,0.0025451526648846493,-0.03209949728843468,0.050097381624131826,-0.01132806707124398,-0.00017831887399949453,0.0006620181803503322,-0.004327755787766174,0.0045093328144255596,-0.0002754787884711174
480.0,-2.9064854840236296,-0.9569187603041875,0.9575479626170716,-0.05521766064357237,0.16253754691766725,-0.07257758357868296,0.003632708022312553,-0.0371015507602601,0.055471892102295486,-0.013090500649486081,-0.00018970493192294047,0.000881044031919298,-0.004863776182524371,0.004925337815084974,-0.00039418320988093836
485.0,-2.921888901643794,-0.9324182694089663,0.9358372204121724,-0.06605672598574754,0.1835975364143258,-0.08223892970755309,0.0047552052052993316,-0.04212799048211999,0.06081053530795952,-0.014839585206294442,-0.00020014846478799697,0.001105030717537675,-0.005405012280706889,0.005343202443663042,-0.0005135946643628486
490.0,-2.935588950928244,-0.9096162314376871,0.9157773545439657,-0.07650004010080229,0.20372221531909188,-0.09141680371586315,0.005832809285292853,-0.04699546612993255,0.06600074578313259,-0.01653978471667164,-0.00020315812438781444,0.0013155713852844586,-0.005930161297868608,0.0057546795603755085,-0.0006316500908474243
495.0,-2.9475471074282713,-0.8889225092308448,0.8976693349612824,-0.08612676279524523,0.22248322916733004,-0.0999097239508959,0.006735627884306938,-0.051463047153518265,0.0709289087553834,-0.018148322386615554,-0.00018822432888841722,0.0014821220232229815,-0.006409274083648997,0.006151154261860248,-0.0007454886498811097
500.0,-2.9579786828498764,-0.8700862668462358,0.8814184736729618,-0.09501169501684664,0.23999260666155903,-0.10768143004865265,0.007450196915100099,-0.05553599173525763,0.07560108153729182,-0.019647351307509886,-0.00015225234779750463,0.0015992559423599617,-0.006839886137881501,0.00653147369884477,-0.0008534663407533394
505.0,-2.966709280465044,-0.8536065933037172,0.867295912629843,-0.10288416512074118,0.25575457393550827,-0.1146620486583518,0.00796521696208503,-0.05907413949472852,0.07986873606664999,-0.02103764624569715,-9.12957204274728e-05,0.001662769511390244,-0.007205269847474466,0.0068820654525437175,-0.0009565238070389226
510.0,-2.973459937871379,-0.8407720470930794,0.8561284820216806,-0.10854761958266307,0.26836586645686183,-0.12039315705070058,0.00797360810523574,-0.06138076396578732,0.08331733044056261,-0.022234760132621975,2.9713612347409546e-05,0.0015966994541744828,-0.007418333428009155,0.007167194050387182,-0.0010498246331538397
515.0,-2.9798778524334013,-0.826878795566572,0.844705617848859,-0.11604250183908624,0.28244831839860307,-0.12645820142836928,0.008567093534342117,-0.06472822363857311,0.08719557481453727,-0.023509683391720673,0.00013102204879723856,0.001642353858751014,-0.007755160571811359,0.007486500262353646,-0.0011477910304932282
520.0,-2.985885662073885,-0.8117735082294307,0.8330839005263894,-0.12575812142865475,0.2984156922531866,-0.1328209630486141,0.009879190820462853,-0.06940674301888056,0.09167676330413875,-0.02485006323415813,0.0001974019060915766,0.0018283240358831498,-0.008253948333215244,0.007858344451941779,-0.0012491992470783364
525.0,-2.9906235649575845,-0.7984139205131844,0.8230191316968045,-0.1351429071156337,0.3133214967563805,-0.13864313568583697,0.011279417301952668,-0.07403138720779964,0.09596414368870335,-0.02611958522377604,0.00027744432856858375,0.002014661437005724,-0.008748488926916709,0.008218806251963251,-0.0013473077191016314
530.0,-2.99414404985358,-0.7871389728685086,0.8147298419078556,-0.143765553935884,0.32670663779268266,-0.14375437124443452,0.012668236965697775,-0.07835170076030107,0.09991085173653586,-0.02728105126841439,0.0003890493114594787,0.0021703525121069683,-0.009205659505476388,0.008554533187771385,-0.0014396683580234493
535.0,-2.9966224872533145,-0.7778510290852254,0.8078994310976839,-0.15153590354444232,0.33854052894686676,-0.14832070109617235,0.014009487016060189,-0.0823218818583279,0.10350248307489666,-0.028368357426269364,0.0005316596611895236,0.0022908745246307677,-0.009620188865696266,0.008864084579725984,-0.0015285790262736798
540.0,-2.9982852947296577,-0.7701659483405424,0.8022217394004999,-0.1587376220020405,0.3491595302610894,-0.15246349330205797,0.015379568887638199,-0.08610939343982563,0.10683103511021837,-0.02939877181426387,0.0007025464096033426,0.002389892347109429,-0.010011533980414933,0.009154925324264873,-0.0016147991220955005
545.0,-2.9991842024206194,-0.7643367590843176,0.7980786738885226,-0.16482700612797094,0.358056398747083,-0.15585816384081574,0.016650791402209583,-0.08933917523347715,0.10968891855371332,-0.030295257354553892,0.0009495330311978002,0.0024058891735821847,-0.010322490109892918,0.00940507144605951,-0.0016927550174952177
550.0,-2.999569699738933,-0.7600801848558285,0.7949165586214024,-0.16978990424941212,0.36530410753517933,-0.1588081257472389,0.01773835564917921,-0.09195213407123291,0.11207073110409496,-0.031118707200360113,0.0012773429195664793,0.002323822204225341,-0.010542597516121688,0.009612254871772141,-0.0017664880708142539
