wavelength,ad,ag,aph
440,0.007775,0.007767,0.010147
440,0.005962,0.022424,0.010853
440,0.009133,0.040525,0.011013
440,0.014039,0.043978,0.01359
440,0.003664,0.028872,0.010651
440,0.012059,0.025788,0.014771
440,0.008993,0.019424,0.019334
440,0.015676,0.010757,0.017655
440,0.016924,0.048478,0.016618
440,0.014418,0.072747,0.017302
440,0.01637,0.068069,0.01719
440,0.01035,0.060529,0.018202
440,0.013748,0.05894,0.016588
440,0.014381,0.062623,0.015347
440,0.009435,0.013869,0.015637
440,0.015159,0.053974,0.015728
440,0.01211,0.00493,0.017005
440,0.01576,0.057497,0.015629
440,0.003983,0.043038,0.015072
440,0.013568,0.025125,0.01632
440,0.021032,0.064384,0.017886
440,0.006097,0.014298,0.017483
440,0.005619,0.043165,0.018428
440,0.00417,0.074736,0.019018
440,0.014217,0.025504,0.017187
440,0.010689,0.054904,0.019081
440,0.011826,0.066174,0.017679
440,0.013377,0.053723,0.018887
440,0.005756,0.021893,0.014961
440,0.012015,0.048149,0.015536
440,0.021276,0.019816,0.019072
440,0.013663,0.087651,0.019097
440,0.016208,0.01839,0.016366
440,0.00348,0.039468,0.015896
440,0.00372,0.053643,0.01514
440,0.008763,0.059112,0.014843
440,0.01146,0.086931,0.019236
440,0.005531,0.053627,0.0156
440,0.005598,0.074393,0.018477
440,0.01177,0.04866,0.019385
440,0.007123,0.062445,0.015877
440,0.003066,0.007697,0.018027
440,0.00616,0.060878,0.017755
440,0.011694,0.030512,0.01755
440,0.013665,0.056339,0.015987
440,0.017152,0.027653,0.017457
440,0.003468,0.070499,0.015694
440,0.026915,0.079464,0.028415
440,0.00614,0.057621,0.024146
440,0.029094,0.078403,0.029027
440,0.015401,0.090355,0.022246
440,0.026573,0.070571,0.025788
440,0.007967,0.092041,0.02196
440,0.017439,0.093926,0.027585
440,0.020537,0.121279,0.026887
440,0.015533,0.117697,0.025696
440,0.021544,0.082125,0.02692
440,0.018451,0.009232,0.022847
440,0.013641,0.07627,0.022907
440,0.023921,0.0954,0.022583
440,0.0249,0.091371,0.024137
440,0.019222,0.11399,0.023176
440,0.01273,0.118228,0.027575
440,0.007184,0.073687,0.019981
440,0.010661,0.063948,0.01986
440,0.011459,0.129305,0.025022
440,0.01802,0.131192,0.025507
440,0.016517,0.017609,0.02359
440,0.017093,0.100713,0.024095
440,0.025943,0.067128,0.023194
440,0.010979,0.043364,0.022584
440,0.019515,0.054629,0.02844
440,0.023836,0.064992,0.029519
440,0.015699,0.131281,0.029231
440,0.029475,0.092356,0.028564
440,0.023513,0.049371,0.027079
440,0.014352,0.056522,0.025545
440,0.020215,0.061004,0.023486
440,0.018602,0.038537,0.021372
440,0.018883,0.085786,0.024751
440,0.018125,0.046529,0.021709
440,0.009894,0.040669,0.023422
440,0.014238,0.051848,0.022935
440,0.025811,0.043968,0.020042
440,0.023704,0.04101,0.021911
440,0.019368,0.036874,0.027835
440,0.015882,0.019223,0.02035
440,0.00745,0.114769,0.02511
440,0.01287,0.011096,0.023099
440,0.021567,0.023384,0.026697
440,0.020951,0.127189,0.026916
440,0.009071,0.042991,0.021148
440,0.024125,0.006806,0.022224
440,0.011461,0.094677,0.025911
440,0.016813,0.034448,0.024811
440,0.017168,0.086459,0.02772
440,0.007343,0.007806,0.024635
440,0.009135,0.031476,0.027131
440,0.004281,0.012929,0.026706
440,0.01335,0.100553,0.026889
440,0.025301,0.069909,0.023665
440,0.011421,0.059329,0.026808
440,0.026077,0.053073,0.026906
440,0.021126,0.039243,0.037327
440,0.007731,0.059671,0.040657
440,0.03714,0.092304,0.043001
440,0.021183,0.174412,0.03539
440,0.042711,0.172833,0.035721
440,0.045,0.183798,0.043659
440,0.023845,0.053997,0.033242
440,0.037427,0.148582,0.043601
440,0.028477,0.191241,0.045831
440,0.024115,0.047865,0.042161
440,0.03041,0.196418,0.037162
440,0.037516,0.055264,0.043355
440,0.002918,0.113327,0.030798
440,0.017379,0.089696,0.042313
440,0.009189,0.193944,0.037278
440,0.030611,0.189965,0.044235
440,0.017327,0.133772,0.039493
440,0.017853,0.165576,0.032826
440,0.017541,0.172235,0.034663
440,0.015979,0.09336,0.038215
440,0.016565,0.102912,0.041081
440,0.038276,0.080631,0.03044
440,0.011995,0.170803,0.04477
440,0.016264,0.020689,0.040542
440,0.037063,0.052046,0.041428
440,0.039523,0.229801,0.044085
440,0.041652,0.052773,0.046919
440,0.058019,0.136548,0.043496
440,0.006624,0.099542,0.04416
440,0.03651,0.028361,0.033402
440,0.029991,0.045935,0.030506
440,0.01978,0.018339,0.033826
440,0.015934,0.155039,0.035339
440,0.021287,0.14527,0.036503
440,0.023207,0.041364,0.037735
440,0.019832,0.201496,0.038141
440,0.015678,0.043459,0.030936
440,0.022492,0.134121,0.035248
440,0.031079,0.16561,0.038872
440,0.028766,0.229152,0.042956
440,0.0381,0.094765,0.040787
440,0.016531,0.196061,0.042487
440,0.032967,0.174884,0.041434
440,0.005495,0.075595,0.040644
440,0.040272,0.135055,0.044935
440,0.033108,0.069699,0.041588
440,0.015746,0.111195,0.047646
440,0.013672,0.107718,0.045005
440,0.016126,0.011631,0.033418
440,0.018412,0.053382,0.045743
440,0.046548,0.011792,0.048012
440,0.023093,0.2464,0.045036
440,0.024275,0.080188,0.043093
440,0.01178,0.127644,0.044602
440,0.019429,0.086032,0.046591
440,0.009343,0.037161,0.047474
440,0.029362,0.209798,0.042795
440,0.024114,0.179007,0.042886
440,0.0511,0.012436,0.047821
440,0.023259,0.204581,0.042649
440,0.026257,0.107968,0.04656
440,0.030565,0.00907,0.038102
440,0.034779,0.214763,0.048284
440,0.026513,0.206358,0.039879
440,0.00841,0.04466,0.049236
440,0.039899,0.326061,0.065735
440,0.050348,0.268781,0.053662
440,0.03874,0.09335,0.050707
440,0.039305,0.189259,0.061482
440,0.0354,0.032801,0.050621
440,0.052554,0.085606,0.051375
440,0.063994,0.09773,0.052849
440,0.042739,0.017818,0.053526
440,0.045807,0.067145,0.050072
440,0.033201,0.057235,0.055111
440,0.032034,0.093018,0.051983
440,0.043071,0.093884,0.051983
440,0.030923,0.066593,0.053612
440,0.035398,0.233085,0.049429
440,0.043844,0.19187,0.052769
440,0.055995,0.260773,0.060572
440,0.017742,0.057071,0.061943
440,0.063607,0.174518,0.064813
440,0.046702,0.140523,0.056187
440,0.023984,0.211145,0.056746
440,0.019052,0.203404,0.059572
440,0.042462,0.275926,0.056578
440,0.074708,0.059775,0.060044
440,0.006238,0.228487,0.052869
440,0.012291,0.204863,0.055805
440,0.033218,0.035811,0.055383
440,0.05271,0.041129,0.049784
440,0.008414,0.090392,0.065638
440,0.015004,0.251664,0.049784
440,0.055755,0.184574,0.050126
440,0.030811,0.207977,0.056536
440,0.04694,0.094786,0.05968
440,0.022265,0.063323,0.060837
440,0.043946,0.1601,0.052081
440,0.028177,0.23434,0.067275
440,0.008782,0.089518,0.068989
440,0.067018,0.293857,0.059311
440,0.04855,0.182801,0.057561
440,0.042179,0.302651,0.056559
440,0.028095,0.109332,0.051559
440,0.050245,0.14127,0.058975
440,0.044807,0.082214,0.065067
440,0.016491,0.301489,0.055192
440,0.072122,0.309489,0.061272
440,0.053568,0.078646,0.06149
440,0.016975,0.017076,0.063887
440,0.092179,0.037231,0.06088
440,0.035488,0.342633,0.063142
440,0.051798,0.08733,0.058822
440,0.043629,0.132955,0.062033
440,0.012224,0.195601,0.051255
440,0.044591,0.269582,0.058818
440,0.034803,0.340794,0.063302
440,0.062256,0.056974,0.050362
440,0.038937,0.060885,0.051703
440,0.035222,0.079382,0.051197
440,0.051043,0.060516,0.065516
440,0.016352,0.271506,0.057529
440,0.003609,0.163456,0.055549
440,0.054028,0.528555,0.114453
440,0.01846,0.035817,0.072614
440,0.073489,0.34865,0.100868
440,0.058903,0.197238,0.099471
440,0.10733,0.08616,0.107278
440,0.105011,0.371698,0.107786
440,0.114947,0.399689,0.103927
440,0.054361,0.058264,0.094931
440,0.087395,0.249883,0.115256
440,0.063171,0.296833,0.083062
440,0.100629,0.237515,0.102608
440,0.079739,0.29807,0.0815
440,0.048854,0.208782,0.105217
440,0.016093,0.061787,0.069697
440,0.03209,0.267599,0.076076
440,0.034494,0.281784,0.081665
440,0.066512,0.14681,0.077776
440,0.031991,0.343397,0.07832
440,0.071802,0.601437,0.114797
440,0.019083,0.157902,0.104946
440,0.068454,0.523033,0.116589
440,0.04888,0.160566,0.087162
440,0.042006,0.525281,0.102769
440,0.068045,0.185575,0.071608
440,0.061371,0.376274,0.075068
440,0.042237,0.342391,0.110613
440,0.086136,0.175508,0.095348
440,0.096444,0.134286,0.078984
440,0.066349,0.177098,0.073137
440,0.074903,0.385249,0.101508
440,0.082092,0.432815,0.078437
440,0.053456,0.377549,0.082558
440,0.06287,0.479821,0.116039
440,0.056781,0.379942,0.110048
440,0.060804,0.134562,0.09408
440,0.115344,0.151487,0.116751
440,0.034736,0.292921,0.077627
440,0.076988,0.289765,0.090109
440,0.05858,0.218125,0.071073
440,0.020265,0.22281,0.081605
440,0.03796,0.133464,0.101326
440,0.062519,0.297137,0.074455
440,0.061053,0.258816,0.084046
440,0.039641,0.309307,0.076412
440,0.046485,0.286798,0.074524
440,0.080566,0.140166,0.099016
440,0.031108,0.111131,0.075345
440,0.066032,0.161251,0.071443
